Accession,Length,Length_norm
XM_002297573.3,1941.0,0.11238038277511962
XM_002297574.2,1446.0,0.08277511961722488
XM_002297578.3,1717.0,0.09898325358851674
XM_002297579.3,1586.0,0.09114832535885167
XM_002297581.3,2295.0,0.13355263157894737
XM_002297583.3,2852.0,0.16686602870813397
XM_002297584.3,1101.0,0.06214114832535885
XM_002297586.3,2024.0,0.1173444976076555
XM_002297587.3,1814.0,0.10478468899521531
XM_002297595.3,1772.0,0.10227272727272728
XM_002297596.3,1334.0,0.07607655502392345
XM_002297598.3,1261.0,0.07171052631578947
XM_002297599.3,940.0,0.05251196172248804
XM_002297602.3,2473.0,0.14419856459330144
XM_002297603.3,2517.0,0.14683014354066987
XM_002297605.3,1308.0,0.07452153110047847
XM_002297606.2,1402.0,0.08014354066985646
XM_002297607.3,1671.0,0.09623205741626795
XM_002297608.3,2305.0,0.1341507177033493
XM_002297612.3,925.0,0.05161483253588517
XM_002297615.3,2776.0,0.16232057416267942
XM_002297616.3,937.0,0.05233253588516747
XM_002297618.2,2201.0,0.1279306220095694
XM_002297621.3,1485.0,0.08510765550239234
XM_002297623.2,2808.0,0.16423444976076557
XM_002297626.3,1742.0,0.10047846889952153
XM_002297627.3,1914.0,0.11076555023923446
XM_002297630.3,1110.0,0.06267942583732057
XM_002297632.3,1023.0,0.057476076555023924
XM_002297639.3,966.0,0.05406698564593301
XM_002297640.3,2735.0,0.15986842105263158
XM_002297641.3,1055.0,0.05938995215311005
XM_002297642.3,1932.0,0.1118421052631579
XM_002297643.3,1985.0,0.11501196172248804
XM_002297644.3,2410.0,0.14043062200956938
XM_002297646.3,2582.0,0.1507177033492823
XM_002297650.3,3439.0,0.20197368421052633
XM_002297656.3,2038.0,0.11818181818181818
XM_002297657.3,1604.0,0.09222488038277513
XM_002297659.3,1981.0,0.11477272727272728
XM_002297661.3,1535.0,0.08809808612440191
XM_002297662.3,1047.0,0.05891148325358852
XM_002297663.3,1967.0,0.1139354066985646
XM_002297664.3,1187.0,0.06728468899521531
XM_002297665.3,1575.0,0.09049043062200957
XM_002297666.3,1770.0,0.1021531100478469
XM_002297671.3,1427.0,0.08163875598086125
XM_002297672.3,1844.0,0.10657894736842105
XM_002297678.3,2372.0,0.13815789473684212
XM_002297679.3,2682.0,0.15669856459330145
XM_002297680.3,1206.0,0.06842105263157895
XM_002297683.2,1950.0,0.11291866028708135
XM_002297688.3,1587.0,0.09120813397129186
XM_002297692.3,1314.0,0.07488038277511962
XM_002297693.3,1621.0,0.09324162679425838
XM_002297694.2,3732.0,0.21949760765550239
XM_002297697.3,1701.0,0.09802631578947368
XM_002297700.3,4098.0,0.24138755980861246
XM_002297701.2,980.0,0.0549043062200957
XM_002297704.3,2009.0,0.11644736842105263
XM_002297705.3,1006.0,0.056459330143540674
XM_002297708.3,1547.0,0.08881578947368421
XM_002297709.3,1648.0,0.09485645933014354
XM_002297710.3,1829.0,0.10568181818181818
XM_002297711.3,1924.0,0.11136363636363637
XM_002297714.3,1065.0,0.059988038277511965
XM_002297715.3,3688.0,0.21686602870813398
XM_002297716.3,724.0,0.0395933014354067
XM_002297718.3,1337.0,0.07625598086124402
XM_002297720.3,3206.0,0.18803827751196173
XM_002297722.3,1292.0,0.0735645933014354
XM_002297725.3,939.0,0.05245215311004785
XM_002297727.3,1107.0,0.0625
XM_002297730.3,654.0,0.0354066985645933
XM_002297731.2,546.0,0.02894736842105263
XM_002297732.3,1099.0,0.06202153110047847
XM_002297733.3,1148.0,0.06495215311004784
XM_002297734.3,1667.0,0.09599282296650719
XM_002297735.3,2025.0,0.11740430622009569
XM_002297737.3,1524.0,0.08744019138755982
XM_002297745.3,2777.0,0.16238038277511962
XM_002297747.3,1129.0,0.06381578947368421
XM_002297748.3,1603.0,0.09216507177033494
XM_002297749.3,3324.0,0.19509569377990432
XM_002297750.3,1807.0,0.10436602870813397
XM_002297751.3,1763.0,0.10173444976076555
XM_002297753.3,1833.0,0.10592105263157894
XM_002297757.3,2234.0,0.1299043062200957
XM_002297758.3,1862.0,0.1076555023923445
XM_002297759.3,3194.0,0.18732057416267944
XM_002297760.3,2906.0,0.1700956937799043
XM_002297761.3,1754.0,0.10119617224880383
XM_002297763.3,1141.0,0.06453349282296651
XM_002297764.3,1458.0,0.08349282296650717
XM_002297765.2,1316.0,0.075
XM_002297767.3,798.0,0.04401913875598086
XM_002297771.3,4350.0,0.25645933014354066
XM_002297775.3,1540.0,0.08839712918660288
XM_002297776.3,1436.0,0.08217703349282297
XM_002297782.3,2076.0,0.12045454545454545
XM_002297786.3,2121.0,0.12314593301435407
XM_002297787.2,3919.0,0.23068181818181818
XM_002297791.3,764.0,0.041985645933014355
XM_002297792.2,402.0,0.020334928229665074
XM_002297794.3,1510.0,0.08660287081339713
XM_002297795.3,808.0,0.04461722488038278
XM_002297799.2,1009.0,0.056638755980861245
XM_002297800.3,784.0,0.04318181818181818
XM_002297801.3,1047.0,0.05891148325358852
XM_002297802.3,1994.0,0.11555023923444976
XM_002297806.3,1241.0,0.07051435406698565
XM_002297807.3,831.0,0.045992822966507176
XM_002297808.3,1736.0,0.10011961722488039
XM_002297810.3,4646.0,0.27416267942583733
XM_002297813.3,709.0,0.038696172248803826
XM_002297816.3,1568.0,0.09007177033492823
XM_002297818.3,2407.0,0.14025119617224882
XM_002297820.3,3178.0,0.18636363636363637
XM_002297821.3,2263.0,0.13163875598086125
XM_002297822.3,1103.0,0.06226076555023924
XM_002297823.3,1613.0,0.09276315789473684
XM_002297824.3,1604.0,0.09222488038277513
XM_002297827.3,1160.0,0.06566985645933014
XM_002297836.3,1683.0,0.09694976076555024
XM_002297837.3,915.0,0.05101674641148325
XM_002297839.3,4141.0,0.24395933014354068
